borough,location_i,objectid,shape_area,shape_leng,zone,longitude,latitude
EWR,1.0,1.0,0.0007823067885,0.116357453189,Newark Airport,-74.17153349999995,40.689483499999895
Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,-73.82247803552738,40.61082353463823
Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,-73.84495310749989,40.86574730099992
Manhattan,4.0,4.0,0.000111871946192,0.0435665270921,Alphabet City,-73.97772542292921,40.72413692699997
Staten Island,5.0,5.0,0.000497957489363,0.0921464898574,Arden Heights,-74.18755828249994,40.550664064999935
Staten Island,6.0,6.0,0.000606460984581,0.150490542523,Arrochar/Fort Wadsworth,-74.07256563877093,40.59904276221754
Queens,7.0,7.0,0.000389787989274,0.107417171123,Astoria,-73.92030746749995,40.7610828654999
Queens,8.0,8.0,2.6587716279e-05,0.0275906911574,Astoria Park,-73.92312156108176,40.77862509038407
Queens,9.0,9.0,0.000338443803197,0.0997840924705,Auburndale,-73.78651680849993,40.75434276799989
Manhattan,24.0,24.0,6.07235737749e-05,0.0469999619287,Bloomingdale,-73.96552238095356,40.80191568729478
Queens,10.0,10.0,0.000435823818081,0.0998394794152,Baisley Park,-73.78898557749989,40.6782561839999
Brooklyn,11.0,11.0,0.00026452053504,0.0792110389596,Bath Beach,-74.00751040830949,40.60401449106883
Manhattan,12.0,12.0,4.15116236727e-05,0.0366613013579,Battery Park,-74.0157258918405,40.702497062934114
Manhattan,13.0,13.0,0.000149358592917,0.0502813228631,Battery Park City,-74.01589181962237,40.71153468920309
Bronx,18.0,18.0,0.000148850163948,0.0697995498569,Bedford Park,-73.89127428349988,40.86867793799989
Brooklyn,25.0,25.0,0.000124168267356,0.0471458199319,Boerum Hill,-73.98647201599982,40.68571924249989
Brooklyn,14.0,14.0,0.00138177826442,0.175213698053,Bay Ridge,-74.0285213693821,40.62359275570357
Queens,15.0,15.0,0.000925219395547,0.14433622262,Bay Terrace/Fort Totten,-73.78527445765596,40.784888059040995
Brooklyn,22.0,22.0,0.000472062684608,0.126170229196,Bensonhurst West,-73.9950711269999,40.6096815280311
Staten Island,23.0,23.0,0.00219556576201,0.290556028962,Bloomfield/Emerson Hill,-74.16044164396826,40.607450098919145
Queens,16.0,16.0,0.000871889446182,0.141291873771,Bayside,-73.77471369291123,40.76121553799993
Brooklyn,17.0,17.0,0.000322957654799,0.093522632948,Bedford,-73.95068947349995,40.69177696199988
Queens,19.0,19.0,0.000546661094782,0.101824875452,Bellerose,-73.72861067890517,40.73673660794557
Bronx,20.0,20.0,0.000134512633032,0.0514401924362,Belmont,-73.88619042849992,40.85773933999992
Brooklyn,21.0,21.0,0.000380251345507,0.115973569062,Bensonhurst East,-73.9858580212229,40.601994973510216
Brooklyn,26.0,26.0,0.000534039927626,0.12354780707,Borough Park,-73.99012981799996,40.62860035949991
Queens,27.0,27.0,0.00134088762746,0.202508808518,Breezy Point/Fort Tilden/Riis Beach,-73.90170527256132,40.55893992410243
Queens,28.0,28.0,0.000291203927662,0.097960782214,Briarwood/Jamaica Hills,-73.80832597049988,40.7107408159999
Brooklyn,33.0,33.0,0.000147416802448,0.0532702931967,Brooklyn Heights,-73.99602169307268,40.69625694246597
Brooklyn,29.0,29.0,0.000201673837402,0.0714083127733,Brighton Beach,-73.96062421335655,40.582514119365925
Bronx,31.0,31.0,0.000333975927329,0.0964245666516,Bronx Park,-73.8761049054999,40.860015707499954
Bronx,32.0,32.0,0.000150879171971,0.05426721601,Bronxdale,-73.86386018649995,40.86438838349993
Queens,30.0,30.0,0.000145862107626,0.0945097669793,Broad Channel,-73.82479984955917,40.60490930856772
Brooklyn,34.0,34.0,0.000173946146651,0.0657059323545,Brooklyn Navy Yard,-73.97231938410377,40.70250752257607
Brooklyn,35.0,35.0,0.000323825195932,0.085787918592,Brownsville,-73.91259334499993,40.66380131049988
Brooklyn,36.0,36.0,0.000247666139269,0.0870507867063,Bushwick North,-73.9175758074999,40.69897118749988
Brooklyn,37.0,37.0,0.000452062644782,0.142810040466,Bushwick South,-73.92042706849989,40.69629654699988
Queens,38.0,38.0,0.000327392684821,0.0832175685234,Cambria Heights,-73.73676400060572,40.693361363486915
Brooklyn,39.0,39.0,0.00090028293862,0.132369620757,Canarsie,-73.89854748942138,40.638860892692335
Brooklyn,40.0,40.0,0.000108949211644,0.0518506648762,Carroll Gardens,-73.99525822599992,40.6785420594999
Manhattan,41.0,41.0,0.000143093037737,0.052793109453,Central Harlem,-73.95070912799989,40.804176356499916
Manhattan,45.0,45.0,9.13594688556e-05,0.0459068626235,Chinatown,-73.99883418899992,40.712982235837806
Bronx,46.0,46.0,0.000926391677672,0.134475429879,City Island,-73.77942003413594,40.847487305955916
Manhattan,42.0,42.0,0.000263896952605,0.0927092274616,Central Harlem North,-73.94296557610663,40.82096513630885
Manhattan,43.0,43.0,0.000379662912054,0.0997386183576,Central Park,-73.96543425149989,40.78243070999989
Staten Island,44.0,44.0,0.00194465649192,0.235688967594,Charleston/Tottenville,-74.230643707576,40.52731570058512
Bronx,47.0,47.0,0.000163198117339,0.0898275563294,Claremont/Bathgate,-73.90038283149993,40.84531677249991
Manhattan,48.0,48.0,9.42538425377e-05,0.0437467441431,Clinton East,-73.98983608299999,40.76224880249994
Brooklyn,49.0,49.0,0.000203185525471,0.0752900183427,Clinton Hill,-73.96170670799994,40.68876461499987
Manhattan,50.0,50.0,0.000173249283326,0.0557479867536,Clinton West,-73.99591012309416,40.76656845547106
Bronx,51.0,51.0,0.000395756553505,0.0953613442277,Co-Op City,-73.82951438949993,40.87343570699992
Brooklyn,52.0,52.0,4.52027509603e-05,0.0289076710093,Cobble Hill,-73.9965055249999,40.686459061499946
Queens,53.0,53.0,0.000947530980821,0.161500913385,College Point,-73.84718616016457,40.78198428688526
Brooklyn,54.0,54.0,0.000132452130536,0.0762192448554,Columbia Street,-74.00497260507314,40.68685015153733
Brooklyn,55.0,55.0,0.000736274713586,0.149956807524,Coney Island,-73.98621165112738,40.57708729324328
Queens,56.0,56.0,0.000180907844436,0.0568478126677,Corona,-73.8577089209999,40.74156724149991
Queens,56.0,56.0,0.000180907844436,0.0568478126677,Corona,-73.85334967649996,40.75198053449989
Queens,56.0,57.0,1.80259807917e-05,0.0192705048557,Corona,-73.8577089209999,40.74156724149991
Queens,56.0,57.0,1.80259807917e-05,0.0192705048557,Corona,-73.85334967649996,40.75198053449989
Bronx,58.0,58.0,0.000204980931361,0.0598554094851,Country Club,-73.8189705241183,40.84149471389722
Bronx,59.0,59.0,6.28765230648e-05,0.0377948070893,Crotona Park,-73.8939116864999,40.83893493049991
Bronx,60.0,60.0,0.000161833284912,0.0786482878226,Crotona Park East,-73.88497212849981,40.831335786999915
Brooklyn,61.0,61.0,0.000510772092295,0.117310808097,Crown Heights North,-73.94241452649987,40.673965946499905
Brooklyn,62.0,62.0,0.000158238169004,0.0822593359838,Crown Heights South,-73.94563594699994,40.6672795414999
Brooklyn,63.0,63.0,0.000353190910142,0.119100721883,Cypress Hills,-73.88255467399989,40.6846913414999
Queens,64.0,64.0,0.00105790284614,0.18445188474,Douglaston,-73.73636758993017,40.76066709841694
Brooklyn,65.0,65.0,8.1803882541e-05,0.0446070683658,Downtown Brooklyn/MetroTech,-73.98530032749991,40.6953503109999
Brooklyn,72.0,72.0,0.000323532461947,0.0952020695166,East Flatbush/Remsen Village,-73.92023267199991,40.65265499899992
Brooklyn,66.0,66.0,0.000108378855948,0.0546334593634,DUMBO/Vinegar Hill,-73.98724996985288,40.70170322259689
Brooklyn,67.0,67.0,0.000394282272487,0.0997470781551,Dyker Heights,-74.01239182199993,40.61841493099994
Manhattan,68.0,68.0,0.000111073378655,0.0493373795569,East Chelsea,-73.99991836599992,40.74843157549989
Queens,73.0,73.0,0.000291799754395,0.0853020209129,East Flushing,-73.80771327899998,40.75377780049991
Bronx,69.0,69.0,0.00019905160381,0.0789896450483,East Concourse/Concourse Village,-73.9161658404999,40.83060752849991
Queens,70.0,70.0,0.000195458476728,0.0638403183367,East Elmhurst,-73.86544192849993,40.764200896999895
Brooklyn,71.0,71.0,0.000382572587364,0.0931694551828,East Flatbush/Farragut,-73.93707866399994,40.644187693999925
Manhattan,79.0,79.0,0.000107893068218,0.0426249113144,East Village,-73.9853151009999,40.72795383099989
Brooklyn,80.0,80.0,0.00040732245622,0.117212621448,East Williamsburg,-73.93711495949984,40.714449946007775
Manhattan,74.0,74.0,0.000295038418204,0.11029093625,East Harlem North,-73.93741040191821,40.80561276899989
Brooklyn,85.0,85.0,0.000143637804933,0.0574751473562,Erasmus,-73.95220698049988,40.647008066999916
Queens,86.0,86.0,0.000623278815249,0.134245282582,Far Rockaway,-73.75590432034738,40.602582236148656
Manhattan,75.0,75.0,0.00024056392715,0.0876638997685,East Harlem South,-73.94541517951379,40.79047907499991
Brooklyn,76.0,76.0,0.00126660143241,0.241203016269,East New York,-73.8825665379999,40.65881960439934
Brooklyn,77.0,77.0,0.000191917981315,0.075461081444,East New York/Pennsylvania Avenue,-73.89266489799996,40.66714987599991
Bronx,78.0,78.0,0.000191114419551,0.0935944495806,East Tremont,-73.88201852999991,40.846066419999936
Bronx,81.0,81.0,0.00039956655019,0.197592771731,Eastchester,-73.82332145712245,40.877408383652124
Manhattan,87.0,87.0,6.72050210692e-05,0.0369015496117,Financial District North,-74.00723894418903,40.70665878589848
Queens,82.0,82.0,0.000323601079994,0.119875649697,Elmhurst,-73.8781106749999,40.7384749244999
Queens,83.0,83.0,0.000217463718718,0.105984933269,Elmhurst/Maspeth,-73.89388576349998,40.74015635699989
Staten Island,84.0,84.0,0.00207375572052,0.233623987032,Eltingville/Annadale/Prince's Bay,-74.19044206599993,40.532010680610426
Manhattan,88.0,88.0,5.72999455414e-05,0.0352046035327,Financial District South,-74.01101059702111,40.703279486942584
Brooklyn,89.0,89.0,0.000447548142373,0.122794569553,Flatbush/Ditmas Park,-73.96066023649988,40.6408055694999
Manhattan,90.0,90.0,5.53132476305e-05,0.0307591620819,Flatiron,-73.99697120049991,40.742282995499934
Manhattan,125.0,125.0,7.64293209892e-05,0.0497322121757,Hudson Sq,-74.00867659015563,40.72546842899988
Brooklyn,91.0,91.0,0.000537330013243,0.124996624585,Flatlands,-73.93211487449993,40.6279474734999
Queens,92.0,92.0,0.000374946617289,0.117830066799,Flushing,-73.82741565411524,40.76434818299988
Queens,93.0,93.0,0.000594278183978,0.170998027597,Flushing Meadows-Corona Park,-73.8391781609999,40.73920557693152
Bronx,94.0,94.0,6.25819407393e-05,0.0498326083147,Fordham South,-73.89836006749992,40.858331678999924
Queens,95.0,95.0,0.00057277033803,0.113629605476,Forest Hills,-73.84591725199981,40.72270292049993
Queens,96.0,96.0,0.000547566253402,0.185180248095,Forest Park/Highland Park,-73.86938352499988,40.695779938999905
Brooklyn,97.0,97.0,0.000163303970435,0.0624760147423,Fort Greene,-73.9761970479999,40.69012588499988
Queens,98.0,98.0,0.000485773020954,0.121661018278,Fresh Meadows,-73.77660400199987,40.73406128099991
Staten Island,99.0,99.0,0.00121016463877,0.1833714893,Freshkills Park,-74.18837134460101,40.579421823499914
Manhattan,100.0,100.0,3.74700210291e-05,0.0248131090342,Garment District,-73.98879086249991,40.75351008049992
Queens,101.0,101.0,0.000452342528877,0.101709836277,Glen Oaks,-73.7144857899677,40.7435324090614
Queens,102.0,102.0,0.000296595466345,0.136900484646,Glendale,-73.8762752915,40.70266458399989
Manhattan,103.0,103.0,6.33056361314e-06,0.0143055167343,Governor's Island/Ellis Island/Liberty Island,-74.04514167358582,40.68981941210902
Manhattan,103.0,103.0,6.33056361314e-06,0.0143055167343,Governor's Island/Ellis Island/Liberty Island,-74.04069248006847,40.69867180082058
Manhattan,103.0,103.0,6.33056361314e-06,0.0143055167343,Governor's Island/Ellis Island/Liberty Island,-74.01918926085249,40.68813517884921
Manhattan,103.0,104.0,1.19205339715e-05,0.0212208330928,Governor's Island/Ellis Island/Liberty Island,-74.04514167358582,40.68981941210902
Manhattan,103.0,104.0,1.19205339715e-05,0.0212208330928,Governor's Island/Ellis Island/Liberty Island,-74.04069248006847,40.69867180082058
Manhattan,103.0,104.0,1.19205339715e-05,0.0212208330928,Governor's Island/Ellis Island/Liberty Island,-74.01918926085249,40.68813517884921
Manhattan,103.0,105.0,0.000368636392805,0.0774253398314,Governor's Island/Ellis Island/Liberty Island,-74.04514167358582,40.68981941210902
Manhattan,103.0,105.0,0.000368636392805,0.0774253398314,Governor's Island/Ellis Island/Liberty Island,-74.04069248006847,40.69867180082058
Manhattan,103.0,105.0,0.000368636392805,0.0774253398314,Governor's Island/Ellis Island/Liberty Island,-74.01918926085249,40.68813517884921
Brooklyn,106.0,106.0,0.000113616826567,0.0492110119798,Gowanus,-73.99018765149987,40.673257901499916
Manhattan,107.0,107.0,7.46112192675e-05,0.0380413645908,Gramercy,-73.98401569649994,40.7373374259999
Brooklyn,108.0,108.0,0.000352866009465,0.11117141227,Gravesend,-73.98281648625473,40.588916627382794
Staten Island,109.0,109.0,0.00116960076185,0.178267819599,Great Kills,-74.15076723149994,40.549091639415735
Staten Island,110.0,110.0,0.000525745098785,0.103946292913,Great Kills Park,-74.12700560635957,40.54328854544133
Brooklyn,111.0,111.0,0.000208683276503,0.0599308800658,Green-Wood Cemetery,-73.9912179504999,40.65189438149993
Brooklyn,112.0,112.0,0.000462068671429,0.107267875765,Greenpoint,-73.94817837037638,40.72879174306715
Manhattan,113.0,113.0,5.79634566998e-05,0.032745350566,Greenwich Village North,-73.99496754899998,40.73222517999994
Manhattan,114.0,114.0,4.70207704945e-05,0.0317270347711,Greenwich Village South,-73.99718279649989,40.728532842999925
Staten Island,115.0,115.0,0.000373168991958,0.116169413964,Grymes Hill/Clifton,-74.08732193799997,40.62012292699988
Manhattan,116.0,116.0,0.000260415337217,0.0681164844265,Hamilton Heights,-73.94909801096932,40.827643611999925
Queens,117.0,117.0,0.00090429427072,0.169885857987,Hammels/Arverne,-73.79020834890787,40.59609399003112
Staten Island,118.0,118.0,0.00182693922711,0.243966217692,Heartland Village/Todt Hill,-74.13021274799993,40.58566061399992
Bronx,119.0,119.0,0.000185779447534,0.0835070355744,Highbridge,-73.92489468218349,40.83677387471742
Manhattan,120.0,120.0,9.31462821313e-05,0.0832612702158,Highbridge Park,-73.93120762703974,40.84598901449994
Brooklyn,149.0,149.0,0.000270639618955,0.0836805821837,Madison,-73.94642772599991,40.606329142499874
Brooklyn,150.0,150.0,0.000332568036088,0.089331491183,Manhattan Beach,-73.94517721099993,40.580463380422565
Queens,121.0,121.0,0.000384563286473,0.0969153373445,Hillcrest/Pomonok,-73.80276245849996,40.72739851499992
Queens,122.0,122.0,0.000226597104976,0.0665318439446,Hollis,-73.76119590149993,40.71095828749988
Brooklyn,123.0,123.0,0.000296445173366,0.0834211389387,Homecrest,-73.96453577199983,40.59992788599992
Queens,124.0,124.0,0.000754837821479,0.127724410062,Howard Beach,-73.84478163086115,40.659577517339336
Bronx,126.0,126.0,0.0007032738273,0.12994872606,Hunts Point,-73.88559393720027,40.81391527000518
